GROUP,DESCRIPTION,LINK
Announcements,"The official announcements channel of Entwinity — your go-to source for all major updates, events, and news across every club and community. Stay in the loop on everything happening in the Entwinity universe.",
Aurora: Astronomy Club,"Passionate about the night sky? Aurora is your cosmic home. From black holes and wormholes to stargazing events and space missions, we explore the universe together. Monthly workshops, cosmology quizzes, and constellation challenges await — whether you're a beginner or a seasoned stargazer. ",
JEE and NEET ,"A dedicated study space for JEE and NEET aspirants. Share study materials, discuss tough concepts, exchange resources, and set daily goals alongside like-minded students on the path to cracking India's toughest entrance exams. ",
General Chat,"The heart of Entwinity a space to connect, converse, and vibe with fellow members across all clubs. Share memes, ideas, experiences, or just say hi. This is where the community comes alive beyond club boundaries. ",https://chat.whatsapp.com/HOk62cRiVejLO1BjnLmpr9?mode=gi_t
Robotics & Automation Club,"Dive into the future of machines and automation. From breakthrough robotics innovations to hands-on project discussions, this club is for engineers and tinkerers who want to build, innovate, and stay ahead of the curve. Monthly workshops and exciting quizzes await. ",
Entwinity Interactive,"The interactive hub of Entwinity — where ideas spark, discussions ignite, and the community engages in real-time. A dynamic space for cross-club conversations, polls, and collaborative initiatives that keep Entwinity vibrant. ",https://chat.whatsapp.com/EH7hAdrfGTF3fPGWZ6bQKt?mode=gi_t
The Knight's Gambit Society: Chess,"Every move tells a story. The Knight's Gambit Society is a sanctuary for chess lovers — from curious novices to grandmasters in the making. Engage in strategic deep-dives, thrilling fortnightly matches, and legendary game analyses. Sharpen your mind, 64 squares at a time.",https://chat.whatsapp.com/DSubRUuXF8aAyxOelljmYu?mode=gi_t
Rhythm Writers Club: Music & Poetry,"Where music meets the written word. Rhythm Writers celebrates the art of songwriting, poetry, and creative expression. Share your playlists, pen your verses, and compete in monthly poetry showcases published on Entwinity's Instagram. For everyone who feels things deeply and writes about it. ",https://chat.whatsapp.com/Hiz2yVLiIePGwcJ3e9DEf7?mode=gi_t
Soliloquy: Debate Society,"Your voice deserves a stage. Soliloquy is Entwinity's premier debate society — hosting weekly debate sessions, impromptu speaking challenges, MUN preparation, and monthly competitions. Hone your argumentation, rhetoric, and research skills while earning recognition on Entwinity's official platform. ",
Ethereal: Photography Club,"Every frame tells a story, every click captures magic. Ethereal is for photographers and filmmakers who see the world through a lens. Learn camera techniques, participate in monthly photo challenges, and get your best shots featured on Ethereal's official Instagram page. ",
Biotech Club,"A space that cultivates curiosity, fosters critical analysis, and drives innovation in biotechnology. From cancer research to agricultural biotech, we discuss the latest breakthroughs, support member-led research initiatives, and encourage cross-disciplinary collaboration. The next age of discovery starts here. ",
REVERIE: Art Club,"Unleash your creative soul at REVERIE. From mandala art to leaf painting, this club celebrates every form of visual expression. Monthly skill-based workshops, 'Studio' showcases of members' best artwork, and a warm community of passionate artists make REVERIE the perfect canvas for your imagination. ",
Vencedor: The Football Club,"For the love of the beautiful game. Vencedor brings together football enthusiasts to discuss matches, tactics, transfers, and football culture. A community built on passion, teamwork, and the shared thrill of the sport. ",
Gaming Club,"Level up your social game. Entwinity's Gaming Club is where players connect, compete online, and geek out over their favourite games. Whether you're into RPGs, strategy, FPS, or indie games — if you play, you belong here. ",
The Young Entrepreneurs Association,"A vibrant community of young innovators and dreamers. Share business ideas, pitch startups, solve weekly problem statements, and collaborate on projects that could become the next big thing. With workshops, pitch sessions, and global competition opportunities, your entrepreneurial journey starts here. ",https://chat.whatsapp.com/HVUtzmnwLrMICsuBfhwrMe?mode=gi_t
?????? – Entwinity's Official Band,"Music runs through Entwinity's soul, and ?????? is its heartbeat. The official band of Entwinity brings together musicians, singers, and composers to collaborate, create, and perform. Join if you live and breathe music. ",
RATNA: Social Problems Solving Club,"Ideas that matter, solutions that change lives. RATNA is where sharp minds tackle real-world social problems through innovation, discussion, and action. Bi-weekly workshops, monthly problem challenges, and global competition participation make this club a launchpad for changemakers. ",
Content Creation Club,"Create, inspire, share. The Content Creation Club nurtures budding creators through monthly video challenges, peer reviews, and skill-building workshops. The best creators get featured on Entwinity's official Instagram — and top performers earn a spot on the main content team. ",https://chat.whatsapp.com/Lbk269ihFuM4SMhuFvpO3H?mode=gi_t
Fitness Club,"Your wellness journey, amplified. Pick a challenge, track your progress, and find your tribe here. From fitness goals to glow-ups, this club is all about pushing limits, fostering healthy discussions, and motivating each other every single day. Body positivity always, judgment never. ",https://chat.whatsapp.com/IWCTCuiVXfAEytL0wuy0Qb?mode=gi_t
VMUN: Versatown MUN Club,"Experience the world of diplomacy and global discourse. VMUN prepares members for Model United Nations conferences through rigorous weekly simulations, research sessions, and professional MUN-style debates. Build your negotiation skills and represent with confidence on the world stage. ",
Bookworms Club,"A heaven for avid readers to indulge in the enchanting world of novels and literature. Share book recommendations, discuss life-changing reads, and compete in monthly short story showcases. Whether you've read a thousand books or just found your first favourite — all readers welcome. ",
